Board Type,Transport Type,Line,Destination,Time,Minutes Left
departure,Länstrafik - Buss,61,Göteborg Heden,2025-01-22 22:03:00,0
departure,Länstrafik - Spårväg,6,Göteborg Varmfrontsgatan,2025-01-22 22:03:00,0
departure,Länstrafik - Spårväg,2,Mölndals Innerstad,2025-01-22 22:04:00,1
departure,Länstrafik - Spårväg,6,Kortedala Aprilgatan (Göteborg kn),2025-01-22 22:04:00,1
departure,Länstrafik - Buss,61,Masthugget (Göteborg kn),2025-01-22 22:05:00,2
departure,Länstrafik - Spårväg,6,Kortedala Aprilgatan (Göteborg kn),2025-01-22 22:05:00,2
departure,Länstrafik - Spårväg,4,Angered centrum (Göteborg kn),2025-01-22 22:06:00,3
departure,Länstrafik - Spårväg,2,Mölndals Innerstad,2025-01-22 22:06:00,3
departure,Länstrafik - Buss,X4,Mölnlycke station (Härryda kn),2025-01-22 22:07:00,4
departure,Länstrafik - Spårväg,8,Göteborg Axel Dahlströms torg,2025-01-22 22:07:00,4
departure,Länstrafik - Buss,18,Kallebäck (Göteborg kn),2025-01-22 22:07:00,4
departure,Länstrafik - Spårväg,5,Göteborg Varmfrontsgatan,2025-01-22 22:07:00,4
departure,Länstrafik - Buss,X4,Kungälv resecentrum,2025-01-22 22:08:00,5
departure,Länstrafik - Buss,100,Borås Centralstation,2025-01-22 22:08:00,5
departure,Länstrafik - Spårväg,8,Göteborg Axel Dahlströms torg,2025-01-22 22:09:00,6
departure,Länstrafik - Spårväg,2,Göteborg Ullevi Norra,2025-01-22 22:09:00,6
departure,Länstrafik - Buss,18,Körkarlens gata (Göteborg kn),2025-01-22 22:09:00,6
departure,Länstrafik - Spårväg,2,Göteborg Ullevi Norra,2025-01-22 22:10:00,7
departure,Länstrafik - Buss,63,Göteborg Heden,2025-01-22 22:11:00,8
departure,Länstrafik - Spårväg,8,Angered centrum (Göteborg kn),2025-01-22 22:15:00,12
departure,Länstrafik - Buss,63,Göteborg Linnéplatsen,2025-01-22 22:15:00,12
departure,Länstrafik - Buss,RÖD,Önneröd (Härryda kn),2025-01-22 22:15:00,12
departure,Länstrafik - Spårväg,8,Angered centrum (Göteborg kn),2025-01-22 22:16:00,13
departure,Länstrafik - Buss,18,Kallebäck (Göteborg kn),2025-01-22 22:16:00,13
